Sales Order Number,Sales Document Type,Sales Order Line Item,Order Create Date,Requested Delivery Date,Sold-To Party,Sold-to Name,Customer Hierarchy ,Customer Hierarchy Level 6 Text,Customer Hierarchy Level 7 Text,Material,Material Descrption,Material Status Description,Plant Material Status Description,Auth Sell Flag Description,Plant,Order Quantity Sales Unit,Sales Unit of Measure
1076868426,ZOR,200,20251114,20251118,2000904889,7-ELEVEN 36837,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1409,3,CS
1076868426,ZOR,300,20251114,20251118,2000904889,7-ELEVEN 36837,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051111,MTN DEW ZS TRLICHRLEM CAN 12OZ 12P2CFM,Material Active,Material Active,No,1409,1,CS
1076868491,ZOR,40,20251114,20251118,2004923320,7-ELEVEN 43522 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1327,2,CS
1076868496,ZOR,290,20251114,20251118,2004475575,7-ELEVEN 43724 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1064,5,CS
1076868497,ZOR,60,20251114,20251118,2004827139,7-ELEVEN 45841 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1032,2,CS
1076868499,ZOR,80,20251114,20251118,2000515759,7-ELEVEN 35322,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1007,2,CS
1076868516,ZOR,110,20251114,20251118,2000756996,7-ELEVEN DIST 10989/FER,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1079,1,CS
1076868526,ZOR,30,20251114,20251118,2000341351,7-ELEVEN DIST #25596,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300044970,GAT LEMLMOR PET 28OZ 1PK 15CS,Material Active,Material Active,No,1370,2,CS
1076868526,ZOR,30,20251114,20251118,2000341351,7-ELEVEN DIST #25596,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300049053,GAT LEMLMOR PET 28OZ 1PK 15CS DRP ONLY,Material Active,Material Inactive,No,1370,2,CS
1076868526,ZOR,280,20251114,20251118,2000341351,7-ELEVEN DIST #25596,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1370,2,CS
1076868559,ZOR,30,20251114,20251118,2001274450,7-ELEVEN #38587,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1R02,2,CS
1076868560,ZOR,110,20251114,20251118,2004511518,7-ELEVEN 45348 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300039949,CELSIUS LF SPSTBWM CN 12OZ1P12C SLK GXYV,Material Active,Material Active,No,1K14,1,CS
1076868656,ZOR,40,20251114,20251118,2000369884,7-ELEVEN 25828,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051203,CELSIUS LF SPKSPIZVB SLCN 12OZ1P12C,Material Active,Material Active,No,1007,5,CS
1076868677,ZOR,90,20251114,20251118,2000454955,7-ELEVEN DIST 13466,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300034495,CELSIUS LIVE FT PR CAN 12OZ 1P 12C SLK,Material Active,Material Active,No,1033,1,CS
1076868678,ZOR,240,20251114,20251118,2004497781,7-ELEVEN 43660 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300003639,MM GEN FRTLLA PET 14OZ 1P12C,Material Active,Material Active,No,1051,1,CS
1076868678,ZOR,350,20251114,20251118,2004497781,7-ELEVEN 43660 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056795,POPPI PUPOP CAN 12OZ 1P12C,Material Active,Material Active,No,1051,1,CS
1076868678,ZOR,360,20251114,20251118,2004497781,7-ELEVEN 43660 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1051,1,CS
1076868678,ZOR,370,20251114,20251118,2004497781,7-ELEVEN 43660 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056667,POPPI GNGLM CAN 12OZ 1P12C FIZZ,Material Active,Material Active,No,1051,1,CS
